company,title,location,url
Patreon,"Senior Staff Software Engineer, Backend Platform","San Francisco, California, United States; San Francisco; New York",https://jobs.ashbyhq.com/patreon/c277b009-0c9c-4ae7-a72b-56aaad0d985c
Plaid,Senior Data Scientist - Network Value,"San Francisco, California, United States; San Francisco HQ; New York City Office; Seattle Office",https://jobs.ashbyhq.com/plaid/fe492bdf-699c-4d70-97e3-4fb9d69b1287
Marathon Health,Vice President of Legal,United States of America,https://marathonhealth.wd501.myworkdayjobs.com/Marathon-Health-Careers/job/Remote/Vice-President-of-Legal--Corporate_JR107664
Marathon Health,"Family Physician - Pontiac, MI","Pontiac, MI; United States of America",https://marathonhealth.wd501.myworkdayjobs.com/Marathon-Health-Careers/job/MI-Pontiac/Family-Physician---Pontiac--MI_JR107565
Patreon,Scaled Partner Manager,"New York City, New York, United States; New York; San Francisco",https://jobs.ashbyhq.com/patreon/3f7eadf7-e0c3-4806-82c5-6218e2fbfde6
Robinhood,Senior Crypto AML Investigator,"Denver, CO; New York, NY; Westlake, TX",https://boards.greenhouse.io/robinhood/jobs/7760310?t=gh_src=&gh_jid=7760310
Robinhood,Finance & Strategy Senior Analyst,"Menlo Park, CA",https://boards.greenhouse.io/robinhood/jobs/7456663?t=gh_src=&gh_jid=7456663
Robinhood,"Data Scientist, ML (Agentic, CX)","Menlo Park, CA; New York, NY",https://boards.greenhouse.io/robinhood/jobs/7489476?t=gh_src=&gh_jid=7489476
Databricks,Delivery Solutions Architect - Public Sector,New Jersey,https://databricks.com/company/careers/open-positions/job?gh_jid=8550331002
Formlabs,Senior Electrical Engineer,"Somerville, MA",https://careers.formlabs.com/job/7926746/apply/?gh_jid=7926746
Formlabs,Electrical Engineer,"Somerville, MA",https://careers.formlabs.com/job/7926665/apply/?gh_jid=7926665
Omada Health,"Senior Manager, Tax","Remote, USA",https://job-boards.greenhouse.io/omadahealth/jobs/7859674
Formlabs,Senior 3D Print Optimization Engineer,"Boston, MA",https://careers.formlabs.com/job/7926275/apply/?gh_jid=7926275
Formlabs,3D Print Optimization Engineer,"Boston, MA",https://careers.formlabs.com/job/7926267/apply/?gh_jid=7926267
Formlabs,3D Print Optimization Engineer,"Somerville, MA",https://careers.formlabs.com/job/7926271/apply/?gh_jid=7926271
Formlabs,Senior 3D Print Optimization Engineer,"Somerville, MA",https://careers.formlabs.com/job/7926272/apply/?gh_jid=7926272
IonQ,Senior Quantum Scientist,"Boulder, Colorado, United States",https://job-boards.greenhouse.io/ionq/jobs/5986072004
Formlabs,Robotic Systems Integration Manager,"Somerville, MA",https://careers.formlabs.com/job/7931319/apply/?gh_jid=7931319
Echodyne,Debug and Test Supervisor,"Kirkland, WA",https://job-boards.greenhouse.io/echodynecorp/jobs/4681382006
Curana Health,Director of Clinical Operations (Nurse Practitioner or Physician Assistant),"Buffalo, NY, US",https://general-careers-curanahealth.icims.com/jobs/3597/director-of-clinical-operations-%28nurse-practitioner-or-physician-assistant%29/job
Rhythm Pharmaceuticals,"Territory Manager, BBS (Central)","Nashville, TN, United States",http://rhythmpharmaceuticals.applytojob.com/apply/s6kGxJGMAl/Territory-Manager-BBS-Central
Rhythm Pharmaceuticals,"Territory Manager, BBS (Mid Atlantic)","Philadelphia, PA, United States",http://rhythmpharmaceuticals.applytojob.com/apply/ra4j7SXcUs/Territory-Manager-BBS-Mid-Atlantic
Rhythm Pharmaceuticals,"Territory Manager, BBS (Florida)","Orlando, FL, United States",http://rhythmpharmaceuticals.applytojob.com/apply/Hqm7lPVFwo/Territory-Manager-BBS-Florida
Rhythm Pharmaceuticals,"Territory Manager, BBS (Southwest)","Los Angeles, CA, United States",http://rhythmpharmaceuticals.applytojob.com/apply/OeRbTQNVtk/Territory-Manager-BBS-Southwest
Rhythm Pharmaceuticals,"Territory Manager, BBS (Northwest)","San Francisco, CA, United States",http://rhythmpharmaceuticals.applytojob.com/apply/Hv038VmIWZ/Territory-Manager-BBS-Northwest
Rhythm Pharmaceuticals,"Territory Manager, BBS (Texas)","Dallas, TX, United States",http://rhythmpharmaceuticals.applytojob.com/apply/GfOUMIVwvu/Territory-Manager-BBS-Texas
Rhythm Pharmaceuticals,"Territory Manager, BBS (Southeast)","Charlotte, NC, United States",http://rhythmpharmaceuticals.applytojob.com/apply/0GSDgSwzez/Territory-Manager-BBS-Southeast
Clio,Senior Technical Talent Acquisition Specialist (12 Month Fixed Term),Toronto; Canada; Vancouver; Calgary,https://clio.wd3.myworkdayjobs.com/ClioCareerSite/job/Toronto/Senior-Technical-Talent-Acquisition-Specialist--12-Month-Contract-_REQ-4926
Plaid,"Product Counsel, Payments","San Francisco, California, United States; San Francisco HQ",https://jobs.ashbyhq.com/plaid/b7d60f30-ca33-4434-bb47-fa16d45b4e4a
Marathon Health,"Medical Assistant - (Part Time 24 hours per week with Full benefits and PTO)-Hanover, MD","Hanover, MD; United States of America",https://marathonhealth.wd501.myworkdayjobs.com/Marathon-Health-Careers/job/MD-Hanover/Medical-Assistant----Part-Time-24-hours-per-week-with-Full-benefits-and-PTO--Hanover--MD_JR107480
Marathon Health,"Nurse Practitioner (Full Time with Benefits and Flex Time) Columbus, GA","Columbus, GA; United States of America",https://marathonhealth.wd501.myworkdayjobs.com/Marathon-Health-Careers/job/GA-Columbus/Nurse-Practitioner--Full-Time-with-Benefits-and-Flex-Time--Columbus--GA_JR107609
Marathon Health,Clinical Applications Trainer,United States of America,https://marathonhealth.wd501.myworkdayjobs.com/Marathon-Health-Careers/job/Remote/Clinical-Applications-Trainer_JR107572-1
Marathon Health,"Nurse Practitioner or Physician Assistant - Gainesville, GA - 8 hours per week","Gainesville, GA; United States of America",https://marathonhealth.wd501.myworkdayjobs.com/Marathon-Health-Careers/job/GA-Gainesville/Nurse-Practitioner-or-Physician-Assistant---Gainesville--GA---8-hours-per-week_JR107656-1
Marathon Health,"Medical Assistant - Charlotte, NC (Albemarle Road)","Charlotte, NC; United States of America",https://marathonhealth.wd501.myworkdayjobs.com/Marathon-Health-Careers/job/NC-Charlotte/Medical-Assistant---Charlotte--NC--Albemarle-Road-_JR107688
Marathon Health,"Medical Assistant (Full Time with PTO and Benefits) -Enid, OK","Enid, OK; United States of America",https://marathonhealth.wd501.myworkdayjobs.com/Marathon-Health-Careers/job/OK-Enid/Medical-Assistant--Full-Time-with-PTO-and-Benefits---Enid--OK_JR107668
Plaid,Finance Systems Manager,"San Francisco, California, United States; San Francisco HQ",https://jobs.ashbyhq.com/plaid/52a328ed-b809-4996-9601-595e5a6a72a8
Marathon Health,"Certified/Registered Medical Assistant - Cherry Hill, NJ","Cherry Hill, NJ; United States of America",https://marathonhealth.wd501.myworkdayjobs.com/Marathon-Health-Careers/job/NJ-Cherry-Hill/Certified-Registered-Medical-Assistant---Cherry-Hill--NJ_JR107652
